self_id,id1,id2,id3,id4,id5,id6,id7,id8
18310,75155,23315,18293,33880,33698,38619,32283,30608
18313,36083,64327,32368,30034,68411,27589,33584,66057
18327,27590,18449,11958,18450,18448,11789,12143,25812
18382,18203,19047,25386,8575,24473,562,17285,11900
18448,12143,18449,11789,11958,18450,18448,25812,27588
18449,12143,18449,11789,11958,18450,18448,25812,27588
18450,12143,18449,11789,11958,18450,18448,25812,27588
18533,32222,53159,48167,25049,14243,38866,30371,41315
18573,25952,14397,59827,42904,55353,44686,20199,38540
18604,19551,16693,21246,16695,7673,47659,1549,2324
18713,24185,22622,23616,14454,20417,1121,45923,1589
18879,21246,44914,19869,17072,30247,21824,23563,25422
18898,27588,51520,66484,70798,33040,18903,66483,31426
18903,27588,26651,18898,11789,18448,18449,7842,27590
18968,38865,31630,31790,75155,54216,53158,38261,21607
19046,51245,66030,14348,14973,69866,33584,31063,33880
19047,18382,14301,5761,2572,54028,54059,54060,54216
19099,18448,18449,27590,12143,11789,18450,11958,25812
19123,36609,22609,36484,42573,36580,38540,36470,42953
19139,19149,19143,19142,14014,19141,3365,1622,1550
19141,19143,24057,27229,27861,19139,8514,19142,8310
19142,19143,19139,19141,1549,1620,3365,1121,1621
19143,19139,19141,19142,3365,1121,1621,16115,1622
19149,19139,14014,25382,1622,1550,20470,24905,54060
19201,11642,61340,27664,11635,11641,27666,15369,48605
19260,19261,20017,19123,14014,1018,29145,1324,727
19261,19260,20017,19123,14014,4920,1018,3606,29145
19274,23315,33445,23660,37619,22615,23599,23729,12655
19309,11789,18448,18450,41866,11958,18449,12143,25812
19337,21824,30247,19869,25422,17557,21762,23563,17072
19459,51874,69141,19459,20038,55030,28096,28100,75267
19551,19551,16693,21246,16695,7673,47659,1549,2324
19558,2725,8717,2726,21772,20379,10645,2780,41683
19562,54059,54060,53959,54000,54028,53908,54330,54216
19674,19674,33783,29198,21110,75464,52239,17610,18310
19869,17072,25422,19869,30247,23563,6761,17070,31596
19871,4570,25466,10001,507,21436,515,20310,17655
19895,19895,16892,19898,5617,562,16893,1152,512
19898,22213,16893,25252,20367,32084,5617,16892,16894
19960,11757,21822,35036,17538,34146,16074,33644,24905
20017,66040,19260,46650,19261,64802,62237,19123,37506
20021,61003,64802,62237,75155,6331,6397,30704,30790
20022,75155,22169,29241,26350,27488,16818,18968,26007
20038,51874,69141,19459,20038,55030,28096,28100,75267
20112,18279,14300,1537,6138,12992,1535,1536,12655
20169,15578,40319,39314,28668,1413,15139,20243,15131
20199,14397,59827,55353,20199,42904,44686,18573,23668
20202,32661,18533,32222,37650,54372,30371,8102,14243
20204,14241,1539,25214,14348,1535,1521,2572,16073
20243,15139,15131,11126,15130,23328,17160,14435,15140
20310,18293,23599,23729,18310,42331,42332,51622,44429
20367,25252,32084,22213,19898,16893,27753,25251,16892
20379,10645,21772,8717,19558,6150,1492,10656,2725
20417,18713,56979,58941,36167,71252,71251,24185,1121
20447,15244,31973,61474,50089,68447,64487,39886,33242
20470,5411,1550,5441,17538,16074,1622,7463,37518
20478,34146,35036,21822,17538,16074,7348,5441,11757
20504,20505,15654,6034,15203,2106,1550,1622,429
20505,20505,15654,6034,15203,2106,1550,1622,429
20539,33644,35036,7463,19960,24905,11757,34146,16074
20560,31625,60875,76780,69828,69826,54411,30248,31596
20575,25656,20893,21688,63863,40336,47541,51483,17094
20584,24443,11325,24444,11324,45450,7849,3824,436
20757,20757,28954,32134,10788,41683,24989,8717,5547
20758,19558,2780,36862,2725,33644,48911,429,5441
20817,75708,503,65339,508,46238,35881,52159,52352
20818,47783,62643,56000,56004,61745,4374,76780,58046
20859,3806,5659,10602,29227,29608,20860,45201,76417
20860,29227,5658,22622,3806,5659,20859,23616,3810
20891,12155,48550,48549,48548,1542,18903,41508,51599
20893,25656,20575,21688,51483,17094,47541,25414,28951
20901,23669,17285,23406,511,638,17183,514,13816
